,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
1581,112239,"무고,사기미수,사문서위조,사문서위조행사,폭력행위등처벌에관한법률위반",95도1084,1995.07.11,대법원,형사,400102,판결,선고
1582,112044,"사문서위조,사문서위조행사,공정증서원본불실기재,공정증서원본불실기재행사,근로기준법위반,사기,상해",94도2694,1995.06.13,대법원,형사,400102,판결,선고
1583,111872,"특정경제범죄가중처벌등에관한법률위반(횡령),상법위반,사기,횡령(인정된죄명:사기),폭력행위등처벌에관한법률위반,뇌물공여의사표시",95도250,1995.04.28,대법원,형사,400102,판결,선고
1584,111873,"특정경제범죄가중처벌등에관한법률위반(사기),사기",95도424,1995.04.25,대법원,형사,400102,판결,선고
1585,111867,"사문서위조,사문서위조행사,사기,사기미수",95도357,1995.04.21,대법원,형사,400102,판결,선고
1586,111865,"사기,변호사법위반,업무상횡령,횡령",94도2244,1995.04.21,대법원,형사,400102,판결,선고
1587,222931,"특정경제범죄가중처벌등에관한법률위반(사기, 인정된 죄명 횡령),사기,특정범죄가중처벌등에관한법률위반(관세)(인정된 죄명 관세법위반)",94노3254,1995.03.29,서울고등법원,형사,400102,판결：확정,선고
1588,111736,특정경제범죄가중처벌등에관한법률위반(사기),95도203,1995.03.24,대법원,형사,400102,판결,선고
1589,111675,"사기,위조유가증권행사,유가증권위조",95도20,1995.03.14,대법원,형사,400102,판결,선고
1590,111595,"사기,사문서위조,업무상횡령",94도2880,1995.02.28,대법원,형사,400102,판결,선고
1591,111589,"공문서변조,공정증서원본불실기재,배임수재,배임증재,사기,사문서위조,업무상배임,업무상횡령,주택건설촉진법위반,특정경제범죄가중처벌등에관한법률위반(배임),특정경제범죄가중처벌등에관한법률위반(횡령)",94도3297,1995.02.17,대법원,형사,400102,판결,선고
1592,111408,"사기,횡령",94도2923,1995.01.20,대법원,형사,400102,판결,선고
1593,111348,사기,93도2023,1994.12.22,대법원,형사,400102,판결,선고
1594,111067,"공문서변조,사문서위조,자격모용에의한사문서작성,공정증서원본불실기재,사기",94도2354,1994.11.04,대법원,형사,400102,판결,선고
1595,110987,사기,94도1467,1994.10.25,대법원,형사,400102,판결,선고
1596,110990,사기미수,94도1819,1994.10.25,대법원,형사,400102,판결,선고
1597,110983,"특정경제범죄가중처벌등에관한법률위반(사기),상습사기,공문서위조,사문서위조",94도2048,1994.10.21,대법원,형사,400102,판결,선고
1598,110888,"특정경제범죄가중처벌등에관한법률위반(사기), 사기",94도1911,1994.10.14,대법원,형사,400102,판결,선고
1599,110881,사기,94도1575,1994.10.11,대법원,형사,400102,판결,선고
1600,110701,"특정경제범죄가중처벌등에관한법률위반(사기),자격모용공문서작성",94도1831,1994.09.09,대법원,형사,400102,판결,선고
1601,110702,"특정경제범죄가중처벌등에관한법률위반(사기),사기,사기미수",94도2032,1994.09.09,대법원,형사,400102,판결,선고
1602,110693,"특정경제범죄가중처벌등에관한법률위반(사기,인정된죄명:배임)",94도902,1994.09.09,대법원,형사,400102,판결,선고
1603,110688,사기,93도1571,1994.09.09,대법원,형사,400102,판결,선고
1604,110700,"특정범죄가중처벌등에관한법률위반(절도),사기,신용카드업법위반,특정범죄가중처벌등에관한법률위반(도주차량),도로교통법위반",94도1763,1994.09.09,대법원,형사,400102,판결,선고
1605,190000,"특정범죄가중처벌등에관한법률위반(절도),사기,공문서변조,폭력행위등처벌에관한법률위반,신용카드업법위반,점유이탈물횡령,도로교통법위반",94도1487,1994.08.12,대법원,형사,400102,판결,선고
1606,110483,사기,94도1279,1994.06.28,대법원,형사,400102,판결,선고
1607,110477,"사기,폭력행위등처벌에관한법률위반,모욕,명예훼손",93도696,1994.06.28,대법원,형사,400102,판결,선고
1608,110407,사기,93도2459,1994.06.14,대법원,형사,400102,판결,선고
1609,110342,"위조공문행사,사기미수,건축법위반",93도1839,1994.05.24,대법원,형사,400102,판결,선고
1610,110268,사기(예비적죄명:변호사법위반),94도474,1994.05.10,대법원,형사,400102,판결,선고
1611,110265,사기,94도604,1994.04.29,대법원,형사,400102,판결,선고
1612,110160,"군사기밀보호법위반,군사기밀누설",94도348,1994.04.26,대법원,형사,400102,판결,선고
1613,146023,수사기록공개불가처분취소등,98구7831,1994.04.19,부산지방법원,일반행정,400107,명령 : 소장각하·상고기각,자
1614,223097,사기미수피고사건,93노3308,1994.03.23,서울형사지방법원,형사,400102,제5부판결 : 확정,선고
1615,110046,"부정수표단속법위반,사기",93도3473,1994.03.22,대법원,형사,400102,판결,선고
1616,109924,사기,93도3218,1994.02.22,대법원,형사,400102,판결,선고
1617,109867,"특정경제범죄가중처벌등에관한법률위반(사기),사기,부정수표단속법위반,공문서위조,공문서위조행사,사문서위조,폭력행위등처벌에관한법률위반",93도3335,1994.02.08,대법원,형사,400102,판결,선고
1618,109864,"폭력행위등처벌에관한법률위반,사기",93도2563,1994.02.08,대법원,형사,400102,판결,선고
1619,223075,사기등피고사건,92노8088,1994.01.13,서울형사지방법원,형사,400102,제6부판결 : 상고,선고
